,Phrase,Category,Score
395,возмещение,Общеэкономическое,1.0
396,возможность,Общеэкономическое,1.0
397,возможность,Инновации,1.0
398,возможный,Общеэкономическое,1.0
399,вознаграждение,Маркетинг и реклама,1.0
400,вознаграждение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
401,вознаграждение,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
402,возобновляемый источник,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
403,возражать,Общеэкономическое,-1.0
404,возражение,Общеэкономическое,-1.0
405,возрастать,Общеэкономическое,2.0
406,возрастающий,Общеэкономическое,1.0
407,волатильность,Общеэкономическое,-1.0
408,волатильность,Фондовые и товарные рынки,-1.0
409,волнение,Фондовые и товарные рынки,-1.0
410,волнение,Общеэкономическое,-1.0
411,вопиюще,Общеэкономическое,-2.0
412,вопиющий,Общеэкономическое,-2.0
413,вопрос,Общеэкономическое,0.0
414,вопросительный,Общеэкономическое,0.0
415,восприимчивость,Общеэкономическое,-1.0
416,восприимчивый,Общеэкономическое,-1.0
417,восстание,"Государственные финансы, бюджет и налоги",-2.0
418,восстановимый,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
419,восстановить,Общеэкономическое,1.0
420,восстановление,Общеэкономическое,1.0
421,восхитительно,Общеэкономическое,2.0
422,впечатление,Общеэкономическое,0.0
423,впечатляющий,Общеэкономическое,1.0
424,впечатляющий,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
425,впутывать,Общеэкономическое,-1.0
426,враждебность,Общеэкономическое,-2.0
427,враждебный,Общеэкономическое,-2.0
428,вред,Общеэкономическое,-2.0
429,вредно,Общеэкономическое,-2.0
430,вредный,Общеэкономическое,-2.0
431,вредоносный,Общеэкономическое,-2.0
432,вредоносный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
433,временное отстранение от должности,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
434,время от времени,Общеэкономическое,0.0
435,всемирное хозяйство,"Международная экономика, торговля и финансы",0.0
436,всемирный,"Международная экономика, торговля и финансы",0.0
437,всемирный экономический форум,"Государственные финансы, бюджет и налоги",1.0
438,всемирный экономический форум,"Международная экономика, торговля и финансы",1.0
439,всероссийский конкурс,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
440,встреча,"Международная экономика, торговля и финансы",1.0
441,встречное требование,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
442,встречный иск,Общеэкономическое,-1.0
443,вто,"Международная экономика, торговля и финансы",0.0
444,вторжение,Общеэкономическое,-1.0
445,выброс парниковых газов,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
446,выбросы,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
447,выбросы в атмосферу,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
448,выбросы загрязняющих веществ,"Реальный сектор экономики (производство, промышленность, добыча)",-2.0
449,выбросы загрязняющих веществ,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
450,выбросы пыли,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
451,выводить из строя,"Реальный сектор экономики (производство, промышленность, добыча)",-1.0
452,вывоз,"Международная экономика, торговля и финансы",0.0
453,выгода,"Монетарная политика, валюта, деньги и кредит, банки",2.0
454,выгода,"Международная экономика, торговля и финансы",2.0
455,выгода,Общеэкономическое,2.0
456,выгодная инвестиция,Фондовые и товарные рынки,2.0
457,выгодная сделка,Фондовые и товарные рынки,2.0
458,выгодно,Общеэкономическое,1.0
459,выгодный,Общеэкономическое,1.0
460,выгодоприобретатель в сделке,Общеэкономическое,1.0
461,выдавать кредиты,Макроэкономика,0.0
462,выдавать кредиты,"Монетарная политика, валюта, деньги и кредит, банки",0.0
463,выдача льготного кредита,"Государственные финансы, бюджет и налоги",1.0
464,выдача льготного кредита,"Монетарная политика, валюта, деньги и кредит, банки",1.0
465,выдающийся,Общеэкономическое,2.0
466,выделенные лимиты,"Государственные финансы, бюджет и налоги",0.0
467,выделенные лимиты,Фондовые и товарные рынки,0.0
468,выделенные лимиты,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
469,выделенные лимиты,"Международная экономика, торговля и финансы",0.0
470,выделенный лимит,"Монетарная политика, валюта, деньги и кредит, банки",0.0
471,вызвать в суд,"Государственные финансы, бюджет и налоги",-2.0
472,вызов,Общеэкономическое,-1.0
473,вызов в суд,"Государственные финансы, бюджет и налоги",-2.0
474,вызывать,Общеэкономическое,-1.0
475,вызывающий,Общеэкономическое,-2.0
476,выигрывать,Общеэкономическое,1.0
477,выигрыш,Общеэкономическое,1.0
478,выключение,Общеэкономическое,-1.0
479,выкуп ценных бумаг,Фондовые и товарные рынки,1.0
480,выкупать собственные акции,Фондовые и товарные рынки,1.0
481,вынесение оправдательного приговора,"Государственные финансы, бюджет и налоги",-1.0
482,выносить приговор,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
483,вынужденный,Общеэкономическое,-1.0
484,выплата,"Государственные финансы, бюджет и налоги",0.0
485,выплата,"Международная экономика, торговля и финансы",0.0
486,выплата,Общеэкономическое,0.0
487,выплата,Фондовые и товарные рынки,0.0
488,выплата,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
489,выплата,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
490,выплата ,"Монетарная политика, валюта, деньги и кредит, банки",0.0
491,выплата вознаграждения,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
492,выплата дивидендов,Фондовые и товарные рынки,1.0
493,выплата дивидендов,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
494,выплата дивидендов,"Международная экономика, торговля и финансы",1.0
495,выплаченный дивиденд,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
496,выплаченный дивиденд,Фондовые и товарные рынки,1.0
497,выплаченный дивиденд,Общеэкономическое,1.0
498,выполнение,Общеэкономическое,0.0
499,выполненный,Общеэкономическое,1.0
500,выполнимость,Общеэкономическое,1.0
501,выполнимый,Общеэкономическое,1.0
502,выполнять,Общеэкономическое,0.0
503,выпуск,Потребление и розничная торговля,0.0
504,выпуск,Фондовые и товарные рынки,0.0
505,выпуск,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
506,выпуск,"Монетарная политика, валюта, деньги и кредит, банки",0.0
507,выпуск,"Государственные финансы, бюджет и налоги",0.0
508,выпуск ,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
509,выпуск акций,Фондовые и товарные рынки,0.0
510,выпуск ценных бумаг,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
511,выпуск ценных бумаг,Фондовые и товарные рынки,1.0
512,вырабатывать,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
513,вырабатывать,Общеэкономическое,0.0
514,вырастать,Общеэкономическое,2.0
515,выручка,Общеэкономическое,0.0
516,выселение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
517,выселять,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
518,высмеивает,Общеэкономическое,-1.0
519,высмеивание,Общеэкономическое,-1.0
520,высмеивать,Общеэкономическое,-1.0
521,высокая добавленная стоимость,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
522,высокий,Общеэкономическое,1.0
523,высоко,Общеэкономическое,1.0
524,выход,Общеэкономическое,-1.0
525,выходить,Общеэкономическое,-1.0
526,вяло,Общеэкономическое,-1.0
527,вялый,Общеэкономическое,-1.0
528,гаджет,Инновации,0.0
529,газ,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
530,газ,"Международная экономика, торговля и финансы",0.0
531,газ,"Государственные финансы, бюджет и налоги",0.0
532,гарант,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
533,гарантированный,Фондовые и товарные рынки,1.0
534,гарантированный,Общеэкономическое,1.0
535,гарантия,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
536,генеральный директор,"Международная экономика, торговля и финансы",0.0
537,геополитический,"Международная экономика, торговля и финансы",0.0
538,гибели,Общеэкономическое,-1.0
539,гибель,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
540,гибель людей,Макроэкономика,-2.0
541,гибельный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-2.0
542,глава,"Государственные финансы, бюджет и налоги",0.0
543,гладко,Общеэкономическое,1.0
544,глобальный,Макроэкономика,0.0
545,глобальный,"Международная экономика, торговля и финансы",0.0
546,глобальный инновационный индекс,Инновации,0.0
547,годовой,"Монетарная политика, валюта, деньги и кредит, банки",0.0
548,годовой,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
549,годовой отчёт,"Монетарная политика, валюта, деньги и кредит, банки",0.0
550,годовой отчёт,"Международная экономика, торговля и финансы",0.0
551,годовой отчёт,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
552,годовой отчёт,"Государственные финансы, бюджет и налоги",0.0
553,годовой отчёт ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
554,годовой отчёт пао,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
555,годовой пик компании,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
556,годовой темп роста,Макроэкономика,0.0
557,годовой темп роста,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
558,годовой темп роста,Общеэкономическое,0.0
559,годовой темп роста,"Монетарная политика, валюта, деньги и кредит, банки",0.0
560,годовой темп роста,"Государственные финансы, бюджет и налоги",0.0
561,годовой темп роста,Фондовые и товарные рынки,0.0
562,годовой темп роста,"Международная экономика, торговля и финансы",0.0
563,горе,Общеэкономическое,-2.0
564,городская среда,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
565,господдержка,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
566,государственная власть,"Государственные финансы, бюджет и налоги",0.0
567,государственная закупка,"Государственные финансы, бюджет и налоги",0.0
568,государственная корпорация,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
569,государственная корпорация,"Государственные финансы, бюджет и налоги",0.0
570,государственная поддержка,"Международная экономика, торговля и финансы",1.0
571,государственная поддержка,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
572,государственная поддержка,"Государственные финансы, бюджет и налоги",1.0
573,государственная поддержка,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
574,государственная поддержка,Инновации,1.0
575,государственная услуга,"Государственные финансы, бюджет и налоги",0.0
576,государственная услуга,"Монетарная политика, валюта, деньги и кредит, банки",0.0
577,государственная услуга,"Международная экономика, торговля и финансы",0.0
578,государственное муниципальное имущество,"Государственные финансы, бюджет и налоги",0.0
579,государственное частное партнерство,Общеэкономическое,0.0
580,государственный,"Государственные финансы, бюджет и налоги",0.0
581,государственный,"Монетарная политика, валюта, деньги и кредит, банки",0.0
582,государственный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
583,государственный,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
584,государственный,"Международная экономика, торговля и финансы",0.0
585,государственный,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
586,государственный кредит,"Государственные финансы, бюджет и налоги",0.0
587,государственный орган,Макроэкономика,0.0
588,государственный орган,"Международная экономика, торговля и финансы",0.0
589,государственный орган,"Государственные финансы, бюджет и налоги",0.0
590,государственный орган,"Монетарная политика, валюта, деньги и кредит, банки",0.0
591,государство ,"Государственные финансы, бюджет и налоги",0.0
592,готовая продукция,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
593,готовая продукция,Потребление и розничная торговля,0.0
594,готовая продукция,"Международная экономика, торговля и финансы",0.0
595,гражданин,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
596,гражданское правонарушение,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
597,гражданское правонарушение,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",-1.0
598,граница,Общеэкономическое,0.0
599,давление,Общеэкономическое,-1.0
600,данные,Инновации,0.0
601,данные,Макроэкономика,0.0
602,дата совершения сделки,Общеэкономическое,0.0
603,движение денежных средств,"Международная экономика, торговля и финансы",0.0
604,двойное дно,Фондовые и товарные рынки,-2.0
605,дворовая территория,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
606,двусмысленный,Общеэкономическое,-1.0
607,дебетовая карта,"Монетарная политика, валюта, деньги и кредит, банки",0.0
608,дебиторская задолженность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
609,дебиторская задолженность,"Международная экономика, торговля и финансы",0.0
610,дебиторская задолженность,"Государственные финансы, бюджет и налоги",0.0
611,дебиторская задолженность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
612,дебиторская задолженность,"Монетарная политика, валюта, деньги и кредит, банки",0.0
613,дебиторский,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
614,деградация,Общеэкономическое,-2.0
615,деградировать,Общеэкономическое,-2.0
616,дезинформация,Маркетинг и реклама,-1.0
617,дезинформированный,Маркетинг и реклама,-1.0
618,дезориентировать,Маркетинг и реклама,-1.0
619,действительность,Общеэкономическое,1.0
620,действительный,Общеэкономическое,1.0
621,делегация,Маркетинг и реклама,0.0
622,делистинг,Фондовые и товарные рынки,-2.0
623,деловой климат,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",1.0
624,деловой климат,"Монетарная политика, валюта, деньги и кредит, банки",1.0
625,деловой климат,"Государственные финансы, бюджет и налоги",1.0
626,деловой климат,"Международная экономика, торговля и финансы",1.0
627,денежная база,"Монетарная политика, валюта, деньги и кредит, банки",0.0
628,денежная задолженность,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
629,денежная задолженность,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
630,денежная задолженность,"Государственные финансы, бюджет и налоги",-1.0
631,денежная задолженность,Фондовые и товарные рынки,-1.0
632,денежная задолженность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
633,денежная задолженность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
634,денежная задолженность,"Международная экономика, торговля и финансы",-1.0
635,денежная масса,"Монетарная политика, валюта, деньги и кредит, банки",0.0
636,денежная эмиссия,"Государственные финансы, бюджет и налоги",0.0
637,денежная эмиссия,Макроэкономика,0.0
638,денежная эмиссия,"Монетарная политика, валюта, деньги и кредит, банки",0.0
639,денежно-кредитный,Общеэкономическое,0.0
640,денежное обращение,Фондовые и товарные рынки,0.0
641,денежное обращение,"Международная экономика, торговля и финансы",0.0
642,денежное обращение,"Государственные финансы, бюджет и налоги",0.0
643,денежное обращение,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
644,денежное обращение,Макроэкономика,0.0
645,денежное обращение,"Монетарная политика, валюта, деньги и кредит, банки",0.0
646,денежные средства,Общеэкономическое,0.0
647,денежный,Общеэкономическое,0.0
648,денежный ,"Монетарная политика, валюта, деньги и кредит, банки",0.0
649,денежный заём,"Монетарная политика, валюта, деньги и кредит, банки",0.0
650,денежный поток,"Международная экономика, торговля и финансы",0.0
651,денежный поток,Фондовые и товарные рынки,0.0
652,денежный поток,"Монетарная политика, валюта, деньги и кредит, банки",0.0
653,денежный поток,Макроэкономика,0.0
654,денежный поток,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
655,деньги,"Международная экономика, торговля и финансы",0.0
656,департамент,"Государственные финансы, бюджет и налоги",0.0
657,департамент,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
658,депозит,"Монетарная политика, валюта, деньги и кредит, банки",0.0
659,депозит,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
660,депозит,Фондовые и товарные рынки,0.0
661,депозитарий ,Фондовые и товарные рынки,0.0
662,депозитарная расписка,Фондовые и товарные рынки,0.0
663,депозитарная расписка,"Международная экономика, торговля и финансы",0.0
664,депонирование,"Монетарная политика, валюта, деньги и кредит, банки",0.0
665,депонировать,"Монетарная политика, валюта, деньги и кредит, банки",0.0
666,дестабилизация,Общеэкономическое,-2.0
667,дестабилизировать,Общеэкономическое,-2.0
668,дефект,Общеэкономическое,-1.0
669,дефектный,Общеэкономическое,-1.0
670,дефицит,Общеэкономическое,-2.0
671,дефицит ,Макроэкономика,-2.0
672,дефицит ,"Международная экономика, торговля и финансы",-2.0
673,дефицит ,"Реальный сектор экономики (производство, промышленность, добыча)",-2.0
674,дефицит ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-2.0
675,дефицит ,"Государственные финансы, бюджет и налоги",-2.0
676,дефицит бюджета,"Государственные финансы, бюджет и налоги",-2.0
677,дефолт ,"Государственные финансы, бюджет и налоги",-2.0
678,деформация,Общеэкономическое,-1.0
679,деятельность,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
680,деятельность,"Международная экономика, торговля и финансы",0.0
681,деятельность ,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
682,деятельность компании,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
683,деятельность по разработке,Инновации,1.0
684,деятельность по разработке,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
685,диверсификация,Фондовые и товарные рынки,1.0
686,диверсифицировать,Фондовые и товарные рынки,1.0
687,диверсифицировать портфель,Фондовые и товарные рынки,1.0
688,диверсифицировать риск,Фондовые и товарные рынки,1.0
689,дивиденд,Фондовые и товарные рынки,1.0
690,дивиденд,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
691,дивидендная политика,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
692,дивидендная политика,"Международная экономика, торговля и финансы",0.0
693,дивидендная политика,Фондовые и товарные рынки,0.0
694,диджитализация,Инновации,1.0
695,динамика,Общеэкономическое,0.0
696,директива,"Государственные финансы, бюджет и налоги",0.0
697,директива,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
698,директор компании,Потребление и розничная торговля,0.0
699,директор компании,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
700,директор компании,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
701,дисбаланс,Общеэкономическое,-1.0
702,дисквалификация,Общеэкономическое,-1.0
703,дисквалифицировать,Общеэкономическое,-1.0
704,дискредитация,Общеэкономическое,-1.0
705,дискредитированный,Общеэкономическое,-1.0
706,дискредитировать,Общеэкономическое,-1.0
707,диспропорция,Общеэкономическое,-1.0
708,диссидент,Общеэкономическое,-1.0
709,диссоциация,Общеэкономическое,-1.0
710,дисфункциональный,Общеэкономическое,-1.0
711,дисфункция,Общеэкономическое,-1.0
712,дисциплинарный,"Государственные финансы, бюджет и налоги",-1.0
713,дифференциация,"Международная экономика, торговля и финансы",0.0
714,дифференциация по качеству,"Международная экономика, торговля и финансы",0.0
715,дневной диапозон,Фондовые и товарные рынки,0.0
716,добавлять стоимость,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",1.0
717,добавлять стоимость,Общеэкономическое,1.0
718,добавлять стоимость,Инновации,1.0
719,добавлять стоимость,"Реальный сектор экономики (производство, промышленность, добыча)",1.0
720,добросовестный,Общеэкономическое,1.0
721,добыча,Макроэкономика,0.0
722,добыча,Общеэкономическое,0.0
723,добыча,Фондовые и товарные рынки,0.0
724,добыча,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
725,добыча газа,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
726,добыча газа,"Международная экономика, торговля и финансы",0.0
727,добыча на месторождении,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
728,добыча на месторождении,Инновации,0.0
729,добыча нефти,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
730,добыча полезных ископаемых,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
731,довольный,Общеэкономическое,1.0
732,договор,"Международная экономика, торговля и финансы",0.0
733,договор,"Социальная ответственность, благотворительность, спонсорская деятельность, экология",0.0
734,договор,Фондовые и товарные рынки,0.0
735,договор,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
736,договор аренды,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
737,договор вступил в силу,Общеэкономическое,0.0
738,договор купли продажи,Потребление и розничная торговля,0.0
739,договор купли-продажи,Потребление и розничная торговля,0.0
740,договор поставки,Потребление и розничная торговля,0.0
741,договор поставки,"Реальный сектор экономики (производство, промышленность, добыча)",0.0
742,договор поставки,"Международная экономика, торговля и финансы",0.0
743,договор поставки,"Монетарная политика, валюта, деньги и кредит, банки",0.0
744,договор поставки,Фондовые и товарные рынки,0.0
745,доказанный,"Государственные финансы, бюджет и налоги",1.0
746,документированный,Общеэкономическое,0.0
747,долг,"Государственные финансы, бюджет и налоги",0.0
748,долг,"Монетарная политика, валюта, деньги и кредит, банки",0.0
749,долг,"Международная экономика, торговля и финансы",0.0
750,долг,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
751,долги,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
752,долговая ценная бумага,Фондовые и товарные рынки,0.0
753,долговой,"Монетарная политика, валюта, деньги и кредит, банки",0.0
754,долговой,Фондовые и товарные рынки,0.0
755,долговой,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
756,долгосрочная задолженность,"Монетарная политика, валюта, деньги и кредит, банки",0.0
757,долгосрочная задолженность,Фондовые и товарные рынки,0.0
758,долгосрочная задолженность,"Международная экономика, торговля и финансы",0.0
759,долгосрочная задолженность,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
760,долгосрочная задолженность,"Государственные финансы, бюджет и налоги",0.0
761,долгосрочная программа,Общеэкономическое,0.0
762,долгосрочная программа развития,Инновации,1.0
763,долгосрочная программа развития,Фондовые и товарные рынки,1.0
764,долгосрочная программа развития,"Государственные финансы, бюджет и налоги",1.0
765,долгосрочное обязательство,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
766,долгосрочный,"Монетарная политика, валюта, деньги и кредит, банки",0.0
767,долгосрочный,"Государственные финансы, бюджет и налоги",0.0
768,долгосрочный,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
769,долгосрочный заём,"Государственные финансы, бюджет и налоги",0.0
770,долгосрочный заём,"Монетарная политика, валюта, деньги и кредит, банки",0.0
771,долгосрочный заём,Фондовые и товарные рынки,0.0
772,долгосрочный заём,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",0.0
773,долгосрочный заём,"Международная экономика, торговля и финансы",0.0
774,долгосрочный кредитный заём,"Монетарная политика, валюта, деньги и кредит, банки",0.0
775,должник,"Монетарная политика, валюта, деньги и кредит, банки",-1.0
776,должник,"Корпоративные финансы и управление, фирма, бухгалтерский учет, нематериальные активы",-1.0
777,должностное преступление,"Государственные финансы, бюджет и налоги",-2.0
